name,acc,short_l,short_l/2,short_l/5,med_l,med_l/2,med_l/5,long_l,long_l/2,long_l/5
3VHS_1_A,72.48,75.862,100.0,100.0,24.138,7.143,20.0,100.0,100.0,100.0
4KTY_d4ktyb1,61.338,63.068,69.318,94.286,55.682,57.955,54.286,75.568,94.318,100.0
1C5E_1_A,39.18,47.368,55.319,100.0,61.053,53.191,57.895,43.158,42.553,73.684
2HOE_d2hoea1,21.403,41.935,29.032,16.667,48.387,35.484,16.667,77.419,87.097,91.667
1ULV_d1ulva3,60.726,56.735,70.492,91.837,51.837,51.639,57.143,65.306,72.951,85.714
1V5S_1_A,61.275,70.635,100.0,100.0,82.54,100.0,100.0,54.762,55.556,68.0
1N4K_d1n4ka2,47.853,70.5,70.0,87.5,63.5,72.0,70.0,63.0,76.0,82.5
1B5Q_d1b5qc2,58.53,45.536,75.0,90.909,66.964,91.071,100.0,100.0,100.0,100.0
3EMU_1_A,58.261,42.236,45.0,84.375,55.28,57.5,90.625,61.491,91.25,100.0
1SXD_1_A,40.575,46.154,31.111,22.222,54.945,35.556,27.778,40.659,28.889,16.667
3OHR_d3ohra2,61.626,62.857,68.966,94.286,55.429,52.874,80.0,48.0,43.678,62.857
1W98_d1w98b1,56.893,56.154,49.231,50.0,61.538,55.385,57.692,52.308,49.231,46.154
4QLB_2_G,57.699,52.778,55.556,57.143,91.667,94.444,100.0,100.0,100.0,100.0
2W50_1_A,48.145,21.569,19.608,20.0,61.765,58.824,65.0,53.922,62.745,60.0
4UQW_1_A,57.663,52.147,48.148,46.875,44.172,32.099,31.25,78.528,82.716,87.5
2QTV_d2qtva4,61.491,55.634,56.338,64.286,29.577,22.535,17.857,67.606,59.155,53.571
2R31_1_A,69.116,51.046,58.824,87.234,72.803,74.79,61.702,72.803,67.227,63.83
4MO0_1_A,51.947,66.667,100.0,100.0,62.745,96.078,100.0,59.804,94.118,100.0
2L1L_2_B,60.828,44.882,47.619,80.0,50.394,30.159,16.0,69.291,63.492,68.0
3R6B_1_A,75.977,50.98,51.316,73.333,38.562,44.737,60.0,20.915,17.105,33.333
1O7F_d1o7fa2,61.378,55.484,54.545,74.194,65.806,70.13,100.0,98.065,100.0,100.0
1LEN_1_A,62.245,63.536,84.444,100.0,64.088,82.222,100.0,70.166,94.444,100.0
2BPA_4_3,67.348,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2K5E_1_A,47.213,41.096,33.333,57.143,60.274,52.778,42.857,35.616,27.778,21.429
2ESS_d2essa1,61.389,59.06,94.595,100.0,80.537,100.0,100.0,100.0,100.0,100.0
2I6H_1_A,63.016,36.232,36.893,46.341,42.995,36.893,29.268,71.981,62.136,53.659
2W3S_d2w3sg4,55.234,48.718,84.483,100.0,70.94,96.552,100.0,52.991,48.276,82.609
3JUA_2_B,66.535,35.897,21.053,0.0,79.487,63.158,28.571,100.0,100.0,100.0
3DEU_1_A,71.488,55.422,54.217,84.848,60.241,50.602,100.0,53.614,42.169,27.273
2MVX_1_A,68.442,92.308,84.211,100.0,71.795,84.211,57.143,100.0,100.0,100.0
2MKN_1_A,65.186,58.333,73.333,100.0,25.0,20.0,16.667,81.667,70.0,50.0
2HFP_2_B,5.882,61.905,50.0,25.0,100.0,100.0,100.0,100.0,100.0,100.0
3HLS_1_A,91.929,59.091,54.545,61.538,96.97,93.939,84.615,100.0,100.0,100.0
1HDF_1_A,40.07,68.627,84.314,90.0,72.549,90.196,100.0,79.412,98.039,100.0
1SKV_1_A,67.017,60.87,44.118,38.462,47.826,32.353,7.692,36.232,35.294,38.462
4HYL_1_A,52.949,63.248,70.69,100.0,53.846,67.241,100.0,93.162,100.0,100.0
1BBO_d1bboa1,43.495,14.286,7.143,20.0,17.857,14.286,0.0,85.714,100.0,100.0
3QPD_1_A,54.231,56.684,50.538,45.946,56.684,53.763,56.757,87.701,95.699,97.297
2DDB_1_A,63.241,61.429,59.048,66.667,50.952,43.81,61.905,71.429,66.667,73.81
2LZL_1_A,81.071,95.349,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
4WQY_9_AK,41.621,82.081,75.581,67.647,87.283,79.07,64.706,17.341,12.791,8.824
3T6O_1_A,51.795,59.504,60.0,100.0,46.281,60.0,83.333,89.256,100.0,100.0
3TDQ_1_A,55.043,69.388,100.0,100.0,69.388,97.959,100.0,64.286,100.0,100.0
3NRW_1_A,54.817,49.573,43.103,56.522,43.59,36.207,39.13,58.12,53.448,52.174
6RLX_1_A,62.326,37.5,0.0,0.0,45.833,8.333,0.0,75.0,50.0,0.0
3DKZ_1_A,59.443,77.465,100.0,100.0,88.732,100.0,100.0,95.07,98.592,100.0
1UGJ_1_A,57.809,58.156,85.714,100.0,56.028,71.429,100.0,48.227,30.0,17.857
1H99_d1h99a1,57.732,59.13,50.877,78.261,46.957,38.596,47.826,54.783,56.14,60.87
3CTA_1_A,68.541,70.0,87.826,100.0,60.0,86.087,100.0,79.13,97.391,100.0
2JE6_d2je6i3,48.804,53.623,82.353,100.0,60.87,41.176,15.385,63.768,97.059,100.0
3PQS_d3pqsa3,48.744,100.0,100.0,100.0,98.876,100.0,100.0,48.315,25.0,17.647
2B5E_d2b5ea3,53.805,52.0,62.903,100.0,68.8,72.581,88.0,59.2,100.0,100.0
2KER_1_A,43.869,88.462,94.872,100.0,46.154,53.846,46.667,32.051,38.462,66.667
3FH1_1_A,57.209,71.318,100.0,100.0,100.0,100.0,100.0,27.132,21.875,28.0
3MVP_1_A,73.505,62.212,58.333,62.791,60.369,51.852,55.814,61.751,51.852,53.488
4IQF_d4iqfd2,43.323,74.074,100.0,100.0,52.778,55.556,90.476,57.407,94.444,100.0
2QS7_1_A,56.443,70.139,62.5,78.571,77.083,76.389,67.857,97.917,100.0,100.0
3H6X_1_A,54.834,52.703,58.108,75.862,57.432,64.865,65.517,69.595,100.0,100.0
1I1R_d1i1ra1,51.31,64.0,76.0,95.0,83.0,100.0,100.0,68.0,100.0,100.0
4X9C_1_A,40.412,71.831,100.0,100.0,59.155,88.571,100.0,49.296,40.0,35.714
1C3Z_1_A,59.148,39.815,44.444,57.143,33.333,24.074,23.81,53.704,46.296,42.857
3DPP_2_C,23.077,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3V64_2_A,60.13,81.152,100.0,100.0,69.11,98.947,100.0,61.257,92.632,100.0
4IOA_4_B,72.195,69.194,77.143,97.619,71.09,73.333,85.714,68.246,57.143,54.762
4FQX_d4fqxd1,58.061,74.725,100.0,100.0,75.824,100.0,100.0,68.132,64.444,61.111
2N5L_1_A,61.865,52.632,46.429,45.455,49.123,60.714,54.545,36.842,25.0,18.182
1P6F_1_A,59.823,62.81,72.727,79.167,70.661,85.95,97.917,71.901,79.339,89.583
1ZZP_1_A,58.169,67.692,67.692,57.692,57.692,53.846,50.0,31.538,33.846,34.615
5A8L_4_G,64.782,70.303,69.512,84.848,60.0,51.22,78.788,69.697,86.585,100.0
1P32_1_A,68.458,68.9,73.077,97.561,61.244,63.462,90.244,65.072,75.0,97.561
4DQQ_d4dqqd1,56.706,59.091,69.318,94.286,71.023,87.5,100.0,68.75,68.182,88.571
2P2U_1_A,90.204,52.632,44.706,67.647,85.38,83.529,88.235,99.415,100.0,100.0
3FVW_1_A,61.877,51.562,41.667,28.947,56.25,43.75,36.842,88.542,98.958,100.0
2L58_1_A,84.375,72.727,75.0,66.667,100.0,100.0,100.0,100.0,100.0,100.0
3GW4_1_A,76.693,40.394,62.376,100.0,42.365,64.356,100.0,36.946,29.703,40.0
5C17_1_A,64.704,70.335,100.0,100.0,62.679,84.615,100.0,50.239,46.154,26.829
2GFG_1_A,63.181,63.731,93.75,100.0,64.767,100.0,100.0,52.332,42.708,60.526
1I58_1_A,66.356,58.201,58.511,100.0,66.138,75.532,100.0,55.556,71.277,81.081
2J8A_1_A,51.993,66.176,72.059,74.074,75.0,73.529,59.259,67.647,94.118,96.296
3JCR_15_8,49.653,79.167,100.0,100.0,96.875,100.0,100.0,71.875,100.0,100.0
3RQS_d3rqsa1,59.749,40.933,50.0,78.947,50.259,64.583,100.0,61.658,61.458,60.526
2BN6_1_A,47.107,18.182,6.25,0.0,3.03,0.0,0.0,48.485,43.75,16.667
1S2Z_d1s2za2,50.93,65.909,100.0,100.0,47.727,81.818,100.0,59.091,77.273,100.0
1TX9_1_A,51.582,61.589,53.333,60.0,45.033,38.667,36.667,60.927,57.333,56.667
3P57_4_P,67.193,66.071,62.5,63.636,54.464,50.0,59.091,75.893,67.857,59.091
4L1N_1_A,57.88,67.476,99.029,100.0,98.058,100.0,100.0,66.019,54.369,56.098
4Q52_1_A,64.431,72.826,88.043,97.222,70.109,85.87,100.0,91.304,100.0,100.0
1UN2_1_A,61.782,50.254,47.959,82.051,74.619,68.367,48.718,65.482,84.694,94.872
1ZX3_d1zx3a1,67.915,41.86,34.884,17.647,77.907,65.116,29.412,94.186,90.698,82.353
4KJM_d4kjmb2,53.348,41.071,35.714,18.182,46.429,17.857,0.0,25.0,25.0,27.273
2OKU_1_A,61.321,51.145,36.923,46.154,53.435,52.308,69.231,34.351,29.231,26.923
2L9Z_1_A,32.479,46.154,31.579,28.571,53.846,42.105,42.857,100.0,100.0,100.0
2LA7_1_A,58.43,75.172,98.611,100.0,65.517,98.611,100.0,59.31,48.611,48.276
4LHR_1_A,60.721,49.359,42.308,45.161,47.436,57.692,93.548,89.103,100.0,100.0
3P2T_d3p2ta1,49.562,66.316,78.723,73.684,90.526,91.489,100.0,80.0,95.745,100.0
1A8L_d1a8la1,56.62,27.731,22.034,13.043,51.261,35.593,56.522,93.277,94.915,100.0
5FFP_1_A,56.266,66.279,93.023,100.0,74.419,98.837,100.0,65.116,58.14,35.294
3ZIX_d3zixf1,63.355,66.049,60.494,93.75,87.654,81.481,100.0,59.259,86.42,100.0
2JJS_1_A,56.718,66.667,90.476,84.0,95.238,100.0,100.0,97.619,100.0,100.0
1Y8F_d1y8fa1,36.44,72.0,100.0,100.0,50.0,48.0,50.0,22.0,20.0,30.0
2YWJ_1_A,53.879,48.925,44.086,70.27,43.011,41.935,51.351,72.581,90.323,97.297
2L0R_1_A,48.807,41.509,33.962,57.143,71.698,56.604,52.381,54.717,47.17,52.381
2FNF_1_X,44.211,62.5,100.0,100.0,41.667,58.333,85.714,38.889,27.778,7.143
4B6C_1_A,59.184,70.918,76.531,100.0,52.551,79.592,100.0,50.51,59.184,82.051
2RCI_1_A,60.933,68.627,73.529,92.5,68.137,85.294,100.0,57.843,85.294,100.0
4GMN_1_B,65.928,95.918,95.833,88.889,100.0,100.0,100.0,100.0,100.0,100.0
4U12_1_A,67.094,40.426,29.787,16.667,97.872,95.745,94.444,80.851,76.596,83.333
2JTX_1_A,66.917,67.925,62.264,100.0,54.717,43.396,38.095,70.755,58.491,38.095
4I6P_1_A,45.153,84.091,88.636,100.0,46.591,52.273,100.0,47.727,45.455,23.529
3JQO_3_C,78.846,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
4C1G_1_A,60.806,55.702,91.228,86.667,76.316,98.246,100.0,52.632,56.14,62.222
2L5T_1_A,48.743,75.325,84.211,93.333,71.429,65.789,53.333,94.805,97.368,100.0
4LFH_d4lfhd2,49.567,82.558,100.0,100.0,84.884,93.023,94.118,48.837,76.744,100.0
1BIH_d1bihb3,54.331,76.289,93.75,100.0,83.505,89.583,94.737,98.969,100.0,100.0
2R9I_1_A,81.327,76.596,70.0,75.0,78.014,57.143,39.286,41.844,25.714,50.0
4K02_1_A,60.035,62.264,98.734,100.0,81.132,100.0,100.0,96.226,100.0,100.0
2QAA_1_A,51.042,64.324,93.478,100.0,65.405,83.696,89.189,57.297,61.957,75.676
2YJL_1_A,52.769,62.4,67.742,88.0,74.4,98.387,100.0,53.6,75.806,100.0
1D1G_1_A,58.566,66.667,65.476,96.97,66.667,91.667,100.0,69.643,75.0,69.697
1TU3_2_F,82.089,54.43,46.154,33.333,74.684,53.846,26.667,100.0,100.0,100.0
3HIA_1_A,49.564,97.872,100.0,100.0,54.255,70.213,100.0,60.638,51.064,22.222
4AR2_2_P,68.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2F4W_1_A,57.036,54.011,60.215,100.0,67.914,97.849,100.0,62.567,49.462,37.838
4W7Z_1_A,95.459,43.75,31.25,0.0,100.0,100.0,100.0,100.0,100.0,100.0
1V2Y_1_A,57.107,55.238,63.462,100.0,59.048,75.0,100.0,60.952,98.077,100.0
2K4Y_1_A,50.865,70.93,100.0,100.0,81.395,100.0,100.0,98.837,100.0,100.0
1ALY_1_A,57.347,60.274,73.973,72.414,61.644,73.973,58.621,92.466,98.63,100.0
1JB0_6_F,76.535,45.122,48.78,56.25,71.341,59.756,59.375,42.683,29.268,25.0
3SXY_1_A,70.231,51.835,46.789,88.372,56.422,42.202,44.186,48.624,44.037,53.488
2Q07_d2q07a1,35.56,69.118,79.412,100.0,100.0,100.0,100.0,55.882,85.294,92.308
1VI0_d1vi0b1,70.216,34.722,58.333,100.0,33.333,38.889,100.0,38.889,22.222,42.857
2KLW_2_B,61.333,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
4B7Y_2_C,53.633,55.172,50.0,60.87,52.586,53.448,60.87,62.069,53.448,13.043
2VV5_d2vv5g3,55.151,66.279,67.442,47.059,65.116,51.163,41.176,50.0,39.535,35.294
3HTK_2_B,95.909,64.384,58.333,78.571,100.0,100.0,100.0,100.0,100.0,100.0
2XCJ_1_A,44.473,33.333,38.776,73.684,69.697,57.143,31.579,46.465,42.857,26.316
5AEO_1_A,49.041,80.838,95.181,100.0,67.066,83.133,100.0,71.257,97.59,100.0
2EIX_d2eixb1,55.341,66.071,96.429,100.0,81.25,92.857,100.0,97.321,100.0,100.0
1YU0_d1yu0a1,62.705,80.12,68.675,78.788,50.0,34.94,51.515,95.783,93.976,100.0
3S9X_1_A,62.114,47.799,62.025,100.0,67.925,65.823,100.0,61.635,97.468,100.0
2CUR_d2cura1,48.491,67.742,100.0,100.0,41.935,80.0,100.0,93.548,86.667,66.667
2FGC_1_A,68.358,62.694,75.0,100.0,68.912,79.167,100.0,99.482,100.0,100.0
2MB1_1_A,41.701,35.185,25.926,10.0,31.481,29.63,30.0,25.926,29.63,50.0
2ZXE_d2zxeb1,87.388,90.244,80.0,62.5,100.0,100.0,100.0,100.0,100.0,100.0
3GE3_3_C,38.761,45.238,52.381,100.0,35.714,45.238,93.75,53.571,80.952,100.0
2CIO_d2ciob-,52.0,85.714,80.0,50.0,61.905,60.0,25.0,85.714,80.0,50.0
1HEK_1_A,45.363,69.466,69.231,73.077,87.786,86.154,88.462,70.229,67.692,61.538
2QYB_1_A,57.739,58.564,66.667,100.0,49.171,80.0,97.222,65.746,77.778,97.222
1JEQ_d1jeqa1,54.902,25.49,28.0,60.0,21.569,28.0,50.0,41.176,32.0,10.0
2Y8N_2_B,51.176,60.465,100.0,100.0,52.326,53.488,76.471,77.907,67.442,58.824
3EMO_1_C,75.737,53.086,70.37,100.0,67.901,98.765,100.0,64.198,61.728,59.375
3U6G_1_A,52.778,66.667,65.079,60.0,64.286,65.079,96.0,50.794,87.302,100.0
2AO6_2_B,83.471,84.0,83.333,60.0,100.0,100.0,100.0,100.0,100.0,100.0
3V5W_d3v5wa1,66.264,48.718,50.0,51.613,75.0,64.103,58.065,64.103,56.41,54.839
2W4L_1_A,64.07,55.056,50.562,85.714,56.18,70.787,100.0,71.348,92.135,97.143
4H83_d4h83f2,65.267,53.975,61.345,76.596,65.272,57.983,38.298,59.414,59.664,87.234
2LW6_1_A,36.266,28.75,20.0,25.0,31.25,35.0,37.5,61.25,52.5,56.25
1ZYO_1_A,53.881,87.958,98.947,100.0,81.675,98.947,100.0,50.262,47.368,81.579
2LJ4_1_A,43.524,39.13,54.386,95.652,39.13,42.105,65.217,67.826,73.684,86.957
2K9L_1_A,43.958,50.0,50.0,40.0,68.421,73.684,53.333,60.526,55.263,46.667
1BM4_1_A,67.969,65.625,62.5,50.0,100.0,100.0,100.0,100.0,100.0,100.0
2HIY_1_A,61.534,65.027,68.132,94.444,69.399,67.033,86.111,54.645,48.352,22.222
2X1L_d2x1lc1,59.555,42.5,28.75,18.75,56.875,52.5,46.875,43.125,31.25,28.125
1J26_1_A,60.746,70.536,67.857,54.545,71.429,71.429,100.0,71.429,89.286,100.0
2BAP_2_D,66.797,57.143,35.714,9.091,100.0,100.0,100.0,100.0,100.0,100.0
1O91_1_A,50.842,66.292,71.91,82.857,46.067,47.191,65.714,98.876,100.0,100.0
2J22_1_A,51.404,56.081,63.514,79.31,35.135,39.189,51.724,98.649,100.0,100.0
1K78_d1k78e1,46.888,39.683,41.935,75.0,65.079,45.161,16.667,66.667,48.387,58.333
5AJ4_53_BK,65.26,60.938,69.792,100.0,49.479,48.958,92.105,64.583,83.333,100.0
3EHG_1_A,56.672,65.625,82.812,100.0,64.062,93.75,100.0,72.656,71.875,88.0
1KTR_2_M,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1IRQ_1_A,35.286,53.521,40.0,28.571,92.958,88.571,71.429,95.775,94.286,92.857
2Q07_d2q07a3,44.444,86.364,100.0,100.0,42.424,48.485,92.308,86.364,84.848,92.308
1JWQ_1_A,54.783,43.017,38.202,74.286,58.659,51.685,28.571,63.687,74.157,80.0
5AJ4_69_Bd,91.623,80.583,75.728,68.293,98.058,96.117,90.244,100.0,100.0,100.0
4DB1_d4db1b2,34.814,100.0,100.0,100.0,54.545,100.0,100.0,59.091,54.545,50.0
1BCP_1_A,62.691,59.574,51.282,55.319,54.043,53.846,80.851,58.298,65.812,78.723
3GRF_d3grfa2,62.468,56.25,55.682,62.857,70.455,59.091,48.571,74.432,85.227,82.857
5ADX_14_a,82.465,91.667,87.5,88.889,100.0,100.0,100.0,100.0,100.0,100.0
1KBH_1_A,61.928,44.681,21.739,33.333,100.0,100.0,100.0,100.0,100.0,100.0
2WKK_1_A,55.764,79.333,98.667,100.0,78.667,86.667,100.0,86.0,98.667,100.0
3I9F_1_A,59.541,58.824,57.647,73.529,60.588,81.176,94.118,78.235,90.588,88.235
1AOY_1_A,57.988,73.077,100.0,100.0,46.154,76.923,100.0,34.615,28.205,13.333
2YS9_1_A,68.204,48.571,42.857,85.714,41.429,31.429,28.571,54.286,48.571,42.857
2Q7A_1_A,54.185,73.684,84.211,86.667,71.711,81.579,96.667,64.474,63.158,83.333
2MFI_1_A,73.557,69.792,93.75,100.0,75.0,85.417,100.0,77.083,95.833,100.0
1WUZ_1_A,48.987,71.845,94.118,100.0,58.252,70.588,90.0,15.534,17.647,25.0
4N7T_d4n7tb2,46.141,40.336,64.407,100.0,33.613,30.508,65.217,46.218,49.153,34.783
2K5R_1_A,51.504,58.763,93.75,100.0,38.144,37.5,57.895,51.546,39.583,5.263
3CP5_1_A,48.477,39.516,33.871,54.167,78.226,77.419,83.333,55.645,53.226,50.0
3SD4_1_A,44.928,95.652,100.0,100.0,100.0,100.0,100.0,49.275,41.176,46.154
1SKZ_d1skza2,47.781,73.077,96.154,100.0,36.538,46.154,70.0,88.462,88.462,80.0
1A04_1_A,64.604,42.326,40.187,72.093,59.07,67.29,93.023,79.07,90.654,95.349
3BZK_d3bzka4,48.947,81.915,100.0,100.0,80.851,100.0,100.0,85.106,100.0,100.0
1XJ1_1_A,47.986,83.607,100.0,100.0,42.623,63.333,91.667,32.787,36.667,75.0
2VVW_1_A,53.284,45.062,32.099,25.0,62.346,43.21,34.375,76.543,74.074,75.0
2HDO_1_A,63.927,66.507,54.808,58.537,41.148,49.038,97.561,73.206,93.269,100.0
4XI0_1_A,76.957,45.545,79.208,100.0,44.059,74.257,95.0,34.158,24.752,22.5
3J7Z_7_6,43.667,95.868,93.333,87.5,100.0,100.0,100.0,100.0,100.0,100.0
1L5J_d1l5jb1,63.879,36.25,37.5,59.375,61.25,48.75,37.5,65.625,63.75,56.25
2C5I_1_P,78.828,96.552,92.857,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1BM8_1_A,40.465,52.525,93.878,100.0,60.606,69.388,100.0,28.283,24.49,47.368
4M5R_1_A,65.189,55.187,51.667,45.833,71.369,62.5,50.0,69.71,66.667,56.25
2MPJ_1_A,28.32,12.0,25.0,40.0,60.0,58.333,40.0,64.0,50.0,40.0
3KXY_2_T,75.138,59.091,54.545,100.0,68.182,69.697,61.538,90.909,81.818,53.846
3O6P_1_A,63.735,55.459,58.772,62.222,73.362,57.895,33.333,48.908,58.772,55.556
1C75_1_A,36.62,22.535,17.143,14.286,42.254,17.143,7.143,47.887,42.857,35.714
2P64_1_A,62.722,59.615,53.846,80.0,96.154,92.308,80.0,100.0,100.0,100.0
3B6E_1_A,62.028,49.537,44.444,44.186,63.426,50.0,44.186,64.352,70.37,83.721
4V61_38_BQ,60.515,70.186,75.0,100.0,68.944,72.5,100.0,28.571,25.0,28.125
2JVN_1_A,59.077,63.492,93.651,100.0,39.683,49.206,100.0,50.0,39.683,20.0
2ZJQ_d2zjq51,52.152,30.986,42.857,92.857,39.437,34.286,21.429,100.0,100.0,100.0
4MI5_1_A,66.751,67.686,80.702,97.778,68.122,70.175,97.778,55.022,50.877,71.111
4GK0_3_E,54.362,36.765,30.882,37.037,66.176,50.0,55.556,56.618,50.0,48.148
4MCK_1_A,60.684,45.274,47.0,47.5,71.642,77.0,77.5,76.119,75.0,77.5
2JTF_1_A,40.137,91.566,100.0,100.0,100.0,100.0,100.0,53.012,53.659,50.0
1O22_1_A,66.06,72.353,72.941,79.412,70.588,63.529,64.706,74.118,74.118,82.353
4BJJ_1_A,58.562,49.107,57.143,100.0,50.893,57.143,100.0,65.179,64.286,50.0
2PQF_1_A,61.119,56.061,67.677,89.744,63.636,64.646,53.846,79.798,98.99,100.0
2ICG_1_A,54.286,63.75,91.25,96.875,63.125,98.75,100.0,52.5,52.5,53.125
3FWZ_1_A,56.495,45.0,48.571,89.286,66.429,100.0,100.0,67.857,91.429,100.0
1T01_2_B,77.604,62.5,66.667,50.0,100.0,100.0,100.0,75.0,50.0,0.0
2QQR_d2qqrb1,73.312,79.661,100.0,100.0,89.831,100.0,100.0,100.0,100.0,100.0
2OM2_2_B,67.824,91.667,94.444,85.714,100.0,100.0,100.0,100.0,100.0,100.0
1P89_1_A,54.175,63.426,71.296,100.0,62.5,69.444,90.698,55.556,56.481,53.488
5CS5_1_A,61.402,61.202,68.132,100.0,62.842,62.637,94.444,66.667,57.143,38.889
4XVP_2_D,56.954,35.294,32.941,44.118,45.882,41.176,32.353,46.471,37.647,32.353
4MBE_4_H,1.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3VOU_1_A,74.044,60.135,43.243,44.828,77.703,83.784,93.103,88.514,85.135,86.207
3L39_1_A,63.726,74.89,66.372,55.556,60.352,53.097,51.111,60.793,65.487,73.333
4C7N_2_B,94.771,62.745,80.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0
3AG3_4_D,84.385,43.537,30.137,20.69,75.51,67.123,62.069,68.707,53.425,37.931
2ZYD_d2zydb1,55.778,38.857,33.333,57.143,58.857,91.954,100.0,83.429,94.253,100.0
4YXC_2_B,62.293,77.533,65.487,66.667,60.793,47.788,51.111,66.96,89.381,100.0
3BED_1_A,56.365,47.183,35.211,39.286,42.254,40.845,25.0,83.099,88.732,96.429
3AJF_1_A,50.496,52.128,42.553,50.0,73.404,70.213,66.667,59.574,51.064,38.889
1PXQ_1_A,39.265,22.857,11.765,0.0,11.429,5.882,0.0,28.571,29.412,14.286
2VFR_d2vfra1,69.003,75.63,76.471,89.362,64.286,60.504,93.617,57.143,52.941,61.702
3BNI_1_A,71.35,51.528,48.246,66.667,54.585,54.386,84.444,51.965,42.105,46.667
4E2I_2_2,49.934,73.077,74.359,100.0,43.59,33.333,26.667,62.821,58.974,60.0
3HTS_2_B,46.713,52.941,52.941,100.0,65.686,82.353,100.0,63.725,76.471,100.0
1R8E_d1r8ea2,57.499,60.51,56.41,54.839,68.79,74.359,100.0,68.79,79.487,100.0
2L4O_1_A,61.143,62.983,51.111,55.556,72.928,70.0,55.556,69.061,75.556,91.667
1M0G_1_A,36.111,66.667,66.667,66.667,50.0,40.0,33.333,90.0,80.0,50.0
2I8T_1_A,56.705,39.521,51.807,90.909,53.892,65.06,87.879,61.078,81.928,72.727
1OTR_1_A,35.86,53.061,37.5,22.222,77.551,70.833,66.667,67.347,58.333,33.333
3EO4_1_A,60.872,59.756,82.927,90.625,60.976,85.366,87.5,59.146,75.61,87.5
3T8K_1_A,60.149,31.72,22.581,10.811,83.871,76.344,64.865,76.344,81.72,75.676
1A92_1_A,85.6,62.0,44.0,30.0,100.0,100.0,100.0,100.0,100.0,100.0
1ITH_1_A,59.122,49.645,44.286,60.714,63.121,47.143,39.286,64.539,71.429,71.429
